Paper Title,Author(s),Abstract,Conference/Journal,Conference/Journal Score (from http://portal.core.edu.au/conf-ranks/ and http://portal.core.edu.au/jnl-ranks/ and/or https://www.scimagojr.com/),Year,BibTeX Reference
Blockchain consensus mechanism based on quantum zero-knowledge proof,"Xiao-Jun Wen, Yong-Zhi Chen, Xin-Can Fan, Wei Zhang, Zheng-Zhong Yi, Jun-Bin Fang",Referring to the consensus mechanisms of traditional blockchain a new consensus mechanism of quantumblockchain is designed based on the randomness and the irreversibility of quantum measurement and quantumzero-knowledge proof. This new consensus mechanism does not involve a great deal of computing resources andhence has fewer energy consumption shorter time delay and higher throughput. Furthermore the new consensusmechanism could withstand 51% attack.,Elsevier,SJR - 0.799,2021,"@misc{wen_chen_fan_zhang_yi_fang_2021, title={Blockchain consensus mechanism based on Quantum Zero-knowledge proof}, url={https://www.sciencedirect.com/science/article/abs/pii/S0030399221007817?casa_token=xK4tGKsGZesAAAAA%3AyZ2IOW1Wpj0OGF9sCiZlJuzxaVqXqOzmrNtMJ2NF5Xz51kjv0MmxPf30Bk1um9-badJKg04y}, journal={Optics & Laser Technology}, publisher={Elsevier}, author={Wen, Xiao-Jun and Chen, Yong-Zhi and Fan, Xin-Can and Zhang, Wei and Yi, Zheng-Zhong and Fang, Jun-Bin}, year={2021}, month={Nov}}"
"A zero-knowledge-proof-based digital
identity management scheme in blockchain","Xiaohui Yang, Wenjie Li",The traditional centralized digital identity management system (DIMS) has been subjectto threats such as fragmented identity single point of failure internal attacks and privacyleakage. Emerging blockchain technology allows DIMSs to be deployed in it which largelyalleviates the problems caused by the centralized third party but its inherent transparencyand lack of privacy pose a huge challenge to DIMSs. In this regard we leverage the smartcontracts and zero-knowledge proof (ZKP) algorithms to improve the existing claim identitymodel in blockchain to realize the identity unlinkability effectively avoiding the exposure ofthe ownership of attributes. Furthermore we implement a system prototype named BZDIMSthat includes a challenge-response protocol which allows users to selectively disclose theirownership of attributes to service providers to protect usersâ€™ behavior privacy. Performanceevaluation and security analysis show that our scheme achieves effective attribute privacyprotection and a wider application scope compared with the prior model.,Elsevier,SJR - 0.861,2020,"@misc{yang_li_2020, title={A zero-knowledge-proof-based digital identity management scheme in Blockchain}, url={https://www.sciencedirect.com/science/article/pii/S0167404820303230?casa_token=DxfqoUoUFvcAAAAA%3AiDSOdnV-CgYAWkA5xJn4Vs7d2dnKpACgB0IdoMLl_zSt3eFkdrTxAX1-rOuJZuE4b5Y_XWCp}, journal={Computers &amp; Security}, publisher={Elsevier Advanced Technology}, author={Yang, Xiaohui and Li, Wenjie}, year={2020}, month={Sep}}"
IoT security system with modified Zero Knowledge Proof algorithm for authentication,"Benfano Soewito, Yonathan Marcellinus",It has been predicted that more devices will be connected to the internet network along with the development of IoT and that will increase the complexity in the security system. The most important thing in security systems is the process of encryption and authentication. Various encryption techniques are developed to overcome security problems of the data. One of the methods used for authentication of data is Zero Knowledge Proof. This method works to identify the authenticity of someones statement to proof without showing any knowledge of the statement mentioned. This research will mainly discuss about the security of data transmission system by combining data encryption and data authentication. The proposed data encryption is using Advanced Encryption System and method for authentication of data using the Zero Knowledge Proof. This research will conduct the development methods of authentication Zero Knowledge Proof from previous research and the result was compared with the proposed method based on the simulation results transmission system client and server. Experiments will be conducted using thirty-text data each of data will be measured on the performance of both encryption and authentication process between the previous method and proposed method. Experimental results show the performance of the proposed method has better speed to process application for security of data transmission systems with performance to authenticate approximately 5 ms from the client side and server side.,Egyptian Informatics Journal,"H-INDEX
34",2021,"@misc{soewito_marcellinus_2020, title={IOT security system with modified zero knowledge proof algorithm for Authentication}, url={https://www.sciencedirect.com/science/article/pii/S1110866520301560#!}, journal={Egyptian Informatics Journal}, publisher={Elsevier}, author={Soewito, Benfano and Marcellinus, Yonathan}, year={2020}, month={Oct}}"
Privacy methods and zero-knowledge poof for corporate blockchain,"Anatoly Konkin, Sergey Zapechnikov",Nowadays distributed ledger technology or blockchain is widely used in the corporate sector for various industries. Although implementation issues (coding practice lack of capabilities etc.) are not among the major barriers for the technology adaption there are still some informational security challenges to adjust and scale blockchain networks for corporate usage. One of them is to provide functionality for private transactions stored in a blockchain. Some methods including mix networks ring signatures and off-chain protocols were applied to meet the privacy requirements. However these methods have some limitations associated with the key blockchain characteristics such as decentralized storing system and immutability verification of private data. This article examines zero-knowledge proof (ZKP) methods for corporate blockchain networks. The article provides the review of existing methods for private transactions discovers the implementation of ZKP methods also performance and scalability issues are discussed.,Procedia Computer Science,"H-INDEX
76",2021,"@misc{konkin_zapechnikov_2021, title={Privacy methods and zero-knowledge poof for corporate blockchain}, url={https://www.sciencedirect.com/science/article/pii/S1877050921013004}, journal={Procedia Computer Science}, publisher={Elsevier}, author={Konkin, Anatoly and Zapechnikov, Sergey}, year={2021}, month={Jul}}"
Perfect zero knowledge for quantum multiprover interactive proofs,"Alex B. Grilo, William Slofstra, Henry Yuen",In this work we consider the interplay between multiprover interactive proofs quantum entanglement and zero knowledge proofs - notions that are central pillars of complexity theory quantum information and cryptography. In particular we study the relationship between the complexity class MIP* the set of languages decidable by multiprover interactive proofs with quantumly entangled provers and the class PZK-MIP* which is the set of languages decidable by MIP* protocols that furthermore possess the perfect zero knowledge property. Our main result is that the two classes are equal i.e. MIP* = PZK-MIP*. This result provides a quantum analogue of the celebrated result of Ben-Or Goldwasser Kilian and Wigderson (STOC 1988) who show that MIP = PZK-MIP (in other words all classical multiprover interactive protocols can be made zero knowledge). We prove our result by showing that every MIP* protocol can be efficiently transformed into an equivalent zero knowledge MIP* protocol in a manner that preserves the completeness-soundness gap. Combining our transformation with previous results we obtain the corollaries that i) all languages that can be solved in non-deterministic double exponential time have zero knowledge MIP* protocols and ii) all co-recursively enumerable languages (which include undecidable problems as well as all decidable problems) have zero knowledge MIP* protocols with vanishing promise gap.,IEEE (FOCS),A*,2019,"@inproceedings{grilo2019perfect,
title={Perfect zero knowledge for quantum multiprover interactive proofs},
author={Grilo, Alex B and Slofstra, William and Yuen, Henry},
booktitle={2019 IEEE 60th Annual Symposium on Foundations of Computer Science (FOCS)},
pages={611--635},
year={2019},
organization={IEEE}
}"
On the Concurrent Composition of Quantum Zero-Knowledge,"Prabhanjan Ananth, Kai-Min Chung, Rolando L. La Placa",Abstract. We study the notion of zero-knowledge secure against quantum polynomial-time verifiers (referred to as quantum zero-knowledge)in the concurrent composition setting. Despite being extensively studiedin the classical setting concurrent composition in the quantum settinghas hardly been studied.We initiate a formal study of concurrent quantum zero-knowledge.Our results are as follows:â€“ Bounded Concurrent QZK for NP and QMA: Assuming postquantum one-way functions there exists a quantum zero-knowledgeproof system for NP in the bounded concurrent setting. In this setting we fix a priori the number of verifiers that can simultaneouslyinteract with the prover. Under the same assumption we also showthat there exists a quantum zero-knowledge proof system for QMAin the bounded concurrency setting.â€“ Quantum Proofs of Knowledge: Assuming quantum hardnessof learning with errors (QLWE) there exists a bounded concurrentzero-knowledge proof system for NP satisfying quantum proof ofknowledge property.Our extraction mechanism simultaneously allows for extraction probability to be negligibly close to acceptance probability(extractability) and also ensures that the proverâ€™s state after extraction is statistically close to the proverâ€™s state after interacting withthe verifier (simulatability).Even in the standalone setting the seminal work of [Unruh EUROCRYPTâ€™12] and all its followups satisfied a weaker version ofextractability property and moreover did not achieve simulatability. Our result yields a proof of quantum knowledge system for QMAwith better parameters than prior works.,Springer - Lecture Notes in Computer Science,SJR-0.249,2021,"@inproceedings{ananth2021concurrent,
title={On the concurrent composition of quantum zero-knowledge},
author={Ananth, Prabhanjan and Chung, Kai-Min and Placa, Rolando L La},
booktitle={Annual International Cryptology Conference},
pages={346--374},
year={2021},
organization={Springer}
}"
Zilch: A Framework for Deploying Transparent Zero-Knowledge Proofs,Dimitris Mouris; Nektarios Georgios Tsoutsos,As cloud computing becomes more popularresearch has focused on usable solutions to the problem ofverifiable computation (VC) where a computationally weakdevice (Verifier) outsources a program execution to a power-ful server (Prover) and receives guarantees that the executionwas performed faithfully. A Prover can further demonstrateknowledge of a secret input that causes the Verifierâ€™s programto satisfy certain assertions without ever revealing which inputwas used. State-of-the-art Zero-Knowledge Proofs of Knowledge(ZKPK) methods encode a computation using arithmetic circuitsand preserve the privacy of Proverâ€™s inputs while attestingthe integrity of program execution. Nevertheless developingdebugging and optimizing programs as circuits remains a daunt-ing task as most users are unfamiliar with this programmingparadigm. In this work we present Zilch a framework that accel-erates and simplifies the deployment of VC and ZKPK for anyapplication transparently i.e. without the need of trusted setup.Zilch uses traditional instruction sequences rather than staticarithmetic circuits that would need to be regenerated for eachdifferent computation. Towards that end we have implementedZ MIPS: a MIPS-like processor model that allows verifying eachinstruction independently and compose a proof for the executionof the target application. To foster usability Zilch incorporates anovel cross-compiler from an object-oriented Java-like languagetailored to ZKPK and optimized our Z MIPS model as well as apowerful API that enables integration of ZKPK within existingC/C++ programs. In our experiments we demonstrate theflexibility of Zilch using two real-life applications and evaluateProver and Verifier performance on a variety of benchmarks,IEEE transactions on information forensics and security,,2021,"@ARTICLE{9410618,
author={Mouris, Dimitris and Tsoutsos, Nektarios Georgios},
journal={IEEE Transactions on Information Forensics and Security}, title={Zilch: A Framework for Deploying Transparent Zero-Knowledge Proofs}, year={2021},
volume={16},
number={},
pages={3269-3284},
doi={10.1109/TIFS.2021.3074869}}"
A Complete Privacy-Preserving Credit Score System Using Blockchain and Zero Knowledge Proof,Yuye Han; Hong Chen; Zhijie Qiu; Lei Luo; Gongbin Qian,As an essential means of privacy protection technology zero-knowledge proof has gradually been applied into various fields with the development of blockchain technology such as the Internet of Vehicles and Bitcoin. Personal comprehensive credit score as a measure to promote social governance is closely related to personal privacy. Although there are currently credit score calculation systems for various application scenarios these systems almost ignore user privacy protection which leads to user information leakage or abuse. The combination of zero-knowledge proof and personal credit score calculation has been studied by a number of researchers at the present stage. However all data are provided by users directly in the current schemes which did not consider the data authenticity under the situation that users provided false data. In this paper we utilize zero-knowledge proof to design a novel privacy protection scheme for personal credit score calculation taking into account the authenticity verification of multi-dimensional user data. In addition our scheme also proposes the concept of a universal verification platform based on blockchain for personal credit scores. This platform has more substantial applicability and versatility for any qualified institution that requires querying and verifying userâ€™s credit scores. At the end of the paper we conducted a security analysis and performance evaluation for the overall scheme.,2021 IEEE International Conference on Big Data (Big Data),,2021,"@INPROCEEDINGS{9671494,
author={Han, Yuye and Chen, Hong and Qiu, Zhijie and Luo, Lei and Qian, Gongbin},
booktitle={2021 IEEE International Conference on Big Data (Big Data)}, title={A Complete Privacy-Preserving Credit Score System Using Blockchain and Zero Knowledge Proof}, year={2021},
volume={},
number={},
pages={3629-3636},
doi={10.1109/BigData52589.2021.9671494}}"
On Using zk-SNARKs and zk-STARKs in Blockchain-Based Identity Management,"Andreea-Elena Panait, Ruxanadra F. Olimid",One possible applicability of blockchain technology is in identity management. Especially for public blockchains the need to reduce (ideally to zero) the exposure of sensitive identification data is clear. Under these settings zero-knowledge proofs in particular in the advanced forms of Zero-Knowledge Succinct Non-Interactive ARguments of Knowledge (zk-SNARK) and Zero-Knowledge Scalable Transparent ARguments of Knowledge (zk-STARK) can be used as a potential privacy-preserving technique. The current work looks at the existing libraries that implement zk-SNARKs and zk-STARKs and exemplifies and discusses the use of zk-SNARKs in blockchain-based identity management solutions.,LNCS,,2021,"Panait AE., Olimid R.F. (2021) On Using zk-SNARKs and zk-STARKs in Blockchain-Based Identity Management. In: Maimut D., Oprina AG., Sauveron D. (eds) Innovative Security Solutions for Information Technology and Communications. SecITC 2020. Lecture Notes in Computer Science, vol 12596. Springer, Cham. https://doi.org/10.1007/978-3-030-69255-1_9"
"Scalable, Transparent, and Post-Quantum Secure Computational Integrity","Eli Ben-Sasson, Iddo Bentov, Yinon Horesh, Michael Riabzev",Human dignity demands that personal information like medical and forensic data be hidden from the public. But veils of secrecy designed to preserve privacy may also be abused to cover up lies and deceit by institutions entrusted with Data unjustly harming citizens and eroding trust in central institutions. Zero knowledge (ZK) proof systems are an ingenious cryptographic solution to this tension between the ideals of personal privacy and institutional integrity enforcing the latter in a way that does not compromise the former. Public trust demands transparency from ZK systems meaning they be set up with no reliance on any trusted party and have no trapdoors that could be exploited by powerful parties to bear false witness. For ZK systems to be used with Big Data it is imperative that the public verification process scale sublinearly in data size. Transparent ZK proofs that can be verified exponentially faster than data size were first described in the 1990s but early constructions were impractical and no ZK system realized thus far in code (including that used by crypto-currencies like Zcashâ„¢) has achieved both transparency and exponential verification speedup simultaneously for general computations. Here we report the first realization of a transparent ZK system (ZK-STARK) in which verification scales exponentially faster than database size and moreover this exponential speedup in verification is observed concretely for meaningful and sequential computations described next. Our system uses several recent advances on interactive oracle proofs (IOP) such as a â€œfastâ€ (linear time) IOP system for error correcting codes. Our proof-of-concept system allows the Police to prove to the public that the DNA profile of a Presidential Candidate does not appear in the forensic DNA profile database maintained by the Police. The proof which is generated by the Police relies on no external trusted party and reveals no further information about the contents of the database nor about the candidateâ€™s profile. In particular no DNA information is disclosed to any party outside the Police. The proof is shorter than the size of the DNAdatabase and verified faster than the time needed to examine that database naÂ¨Ä±vely,Israel Science Foundation,,2018,"@misc{cryptoeprint:2018:046, author = {Eli Ben-Sasson and Iddo Bentov and Yinon Horesh and Michael Riabzev}, title = {Scalable, transparent, and post-quantum secure computational integrity}, howpublished = {Cryptology ePrint Archive, Report 2018/046}, year = {2018}, note = {\url{https://ia.cr/2018/046}}, }"
On the obfuscatability of quantum point functions,"Tao Shang, Ran-yi-liu Chen, Jian-wei Liu",The goal of this work is to provide a positive result of quantum obfuscation. Point functions have been widely discussed in classical obfuscation theory but yet not formally defined in the quantum setting. To analyze the obfuscatability of quantum point functions we start with preliminaries on quantum obfuscation giving out the oracleimplementable relationship of two quantum circuit families and some obfuscations o combined quantum circuits. Then we present the strict definition of a quantum point function and discuss its variants of multiple points and multiple qubits. Under the quantum-accessible random oracle model we obtain the obfuscatability of quantum point function families by means of reduction. Finally we discuss the application of quantum obfuscation in quantum zero-knowledge. As a start of study on quantum point functions our work will be inspiring in the future development of quantum obfuscation theory.,Quantum Information Processing (Springer),SJR- 0.583,2019,"@article{shang2019obfuscatability,
title={On the obfuscatability of quantum point functions},
author={Shang, Tao and Liu, Jian-wei and others},
journal={Quantum Information Processing},
volume={18},
number={2},
pages={1--16},
year={2019},
publisher={Springer}
}"
Post-quantum Zero-Knowledge in Constant Rounds,"Nir Bitansky, Omri Shmueli",We construct a constant-round zero-knowledge classical argumentfor NP secure against quantum attacks. We assume the existence of Quantum Fully-Homomorphic Encryption and other standardprimitives known based on the Learning with Errors Assumption for quantum algorithms. As a corollary we also obtain a constantround zero-knowledge quantum argument for QMA.At the heart of our protocol is a new no-cloning non-black-box simulation technique.,Preceeding of the Annual ACM Symposium on Theory of Computing,SJR- 2.223,2020,"@inproceedings{bitansky2020post,
title={Post-quantum zero knowledge in constant rounds},
author={Bitansky, Nir and Shmueli, Omri},
booktitle={Proceedings of the 52nd Annual ACM SIGACT Symposium on Theory of Computing},
pages={269--279},
year={2020}
}"
Scalable Zero Knowledge with No Trusted Setup,"Eli Ben-Sasson, Iddo Bentov, Yinon Horesh, Michael Riabzev",One of the approaches to constructing zero knowledge (ZK) arguments relies on â€œPCP techniquesâ€ that date back to influential works from the early 1990â€™s [Babai et al. Arora et al. 1991-2]. These techniques require only minimal cryptographic assumptions namely the existence of a family of collision-resistant hash functions [Kilian STOC 1992] and achieve two remarkable properties: (i) all messages generated by the verifier are public random coins and (ii) total verification time is merely poly-logarithmic in the time needed to naÃ¯vely execute the computation being verified [Babai et al. STOC 1991]. Those early constructions were never realized in code mostly because proving time was too large. To address this the model of interactive oracle proofs (IOPs) which generalizes the PCP model was recently suggested. Proving time for ZK-IOPs was reduced to quasi-linear even for problems that require nondeterministic exponential time to decide [Ben-Sasson et al. TCC 2016 ICALP 2017]. Despite these recent advances it was still not clear whether ZK-IOP systems can lead to concretely efficient succinct argument systems. Our main claim is that this is indeed the case. We present a new construction of an IOP of knowledge (which we call a zk-STIK) that improves asymptotically on the state of art: for log-space computations of length T it is the first to   ð‘‚(ð‘‡logð‘‡)  arithmetic prover complexity and   ð‘‚(logð‘‡)  verifier arithmetic complexity. Prior IOPs had additional   ð—‰ð—ˆð—…ð—’logð‘‡  factors in both prover and verifier. Additionally we report a C++ realization of this system (which we call libSTARK). Compared to prevailing ZK realizations it has the fastest proving and (total) verification time for sufficiently large sequential computations.,International Association for Cryptologic Research,SJR- 2.21,2019,"@misc{cryptoeprint:2018:046, author = {Eli Ben-Sasson and Iddo Bentov and Yinon Horesh and Michael Riabzev}, title = {Scalable Zero Knowledge with No Trusted Setup
}, howpublished = {Cryptology ePrint Archive, Report 2019/046}, year = {2019}, note = {\url{https://ia.cr/2019/046}}, }"
Post-Quantum Authentication in TLS 1.3: A Performance Study,Dimitrios Sikeridis and Panos Kampanakis and Michael Devetsikiotis,The potential development of large-scale quantum computers is raising concerns among IT and security research professionals due to their ability to solve (elliptic curve) discrete logarithm and integer factorization problems in polynomial time. All currently used public key algorithms would be deemed insecure in a post-quantum (PQ) setting. In response the National Institute of Standards and Technology (NIST) has initiated a process to standardize quantum-resistant crypto algorithms focusing primarily on their security guarantees. Since PQ algorithms present significant differences over classical ones their overall evaluation should not be performed out-of-context. This work presents a detailed performance evaluation of the NIST signature algorithm candidates and investigates the imposed latency on TLS 1.3 connection establishment under realistic network conditions. In addition we investigate their impact on TLS session throughput and analyze the trade-off between lengthy PQ signatures and computationally heavy PQ cryptographic operations. Our results demonstrate that the adoption of at least two PQ signature algorithms would be viable with little additional overhead over current signature algorithms. Also we argue that many NIST PQ candidates can effectively be used for less time-sensitive applications and provide an in-depth discussion on the integration of PQ authentication in encrypted tunneling protocols along with the related challenges improvements and alternatives. Finally we propose and evaluate the combination of different PQ signature algorithms across the same certificate chain in TLS. Results show a reduction of the TLS handshake time and a significant increase of a servers TLS tunnel connection rate over using a single PQ signature scheme.,Cryptology ePrint Archive,,2020,"@misc{cryptoeprint:2020:071, author = {Dimitrios Sikeridis and Panos Kampanakis and Michael Devetsikiotis}, title = {Post-Quantum Authentication in TLS 1.3: A Performance Study}, howpublished = {Cryptology ePrint Archive, Report 2020/071}, year = {2020}, note = {\url{https://ia.cr/2020/071}}, }"
"A Black-Box Approach to Post-Quantum
Zero-Knowledge in Constant Rounds","Nai-Hui Chia, Kai-Min Chung, and Takashi Yamakawa",In a recent seminal work Bitansky and Shmueli (STOC â€™20)gave the first construction of a constant round zero-knowledge argumentfor NP secure against quantum attacks. However their constructionhas several drawbacks compared to the classical counterparts. Specifi-cally their construction only achieves computational soundness requiresstrong assumptions of quantum hardness of learning with errors (QLWEassumption) and the existence of quantum fully homomorphic encryp-tion (QFHE) and relies on non-black-box simulation.In this paper we resolve these issues at the cost of weakening thenotion of zero-knowledge to what is called -zero-knowledge. Concretelywe construct the following protocols:â€“ We construct a constant round interactive proof for NP that sat-isfies statistical soundness and black-box -zero-knowledge against quan-tum attacks assuming the existence of collapsing hash functions whichis a quantum counterpart of collision-resistant hash functions. Interest-ingly this construction is just an adapted version of the classical protocolby Goldreich and Kahan (JoC â€™96) though the proof of -zero-knowledgeproperty against quantum adversaries requires novel ideas.â€“ We construct a constant round interactive argument for NPthat satisfies computational soundness and black-box -zero-knowledgeagainst quantum attacks only assuming the existence of post-quantumone-way functions.At the heart of our results is a new quantum rewinding techniquethat enables a simulator to extract a committed message of a maliciousverifier while simulating verifierâ€™s internal state in an appropriate sense.,Annual International Cryptology Conference,N/A,2021,"@InProceedings{10.1007/978-3-030-84242-0_12,author=""Chia, Nai-Huiand Chung, Kai-Minand Yamakawa, Takashi"",editor=""Malkin, Taland Peikert, Chris"",title=""A Black-Box Approach to Post-Quantum Zero-Knowledge in Constant Rounds"",booktitle=""Advances in Cryptology -- CRYPTO 2021"",year=""2021"",publisher=""Springer International Publishing"",address=""Cham"",pages=""315--345"",abstract=""In a recent seminal work, Bitansky and Shmueli (STOC '20) gave the first construction of a constant round zero-knowledge argument for {\$}{\$}{\backslash}mathbf {\{}NP{\}}{\$}{\$}NPsecure against quantum attacks. However, their construction has several drawbacks compared to the classical counterparts. Specifically, their construction only achieves computational soundness, requires strong assumptions of quantum hardness of learning with errors (QLWE assumption) and the existence of quantum fully homomorphic encryption (QFHE), and relies on non-black-box simulation."",isbn=""978-3-030-84242-0""}"
Post-quantum Resettably-Sound Zero Knowledge,"Nir Bitansky, Michael Kellner, Omri Shmueli",We study post-quantum zero-knowledge (classical) protocols that are sound against quantum resetting attacks. Our model is inspired by the classical model of resetting provers (Barak-Goldreich-Goldwasser-Lindell FOCS â€˜01) providing a malicious efficient prover with oracle access to the verifierâ€™s next-message-function fixed to some initial random tape; thereby allowing it to effectively reset (or equivalently rewind) the verifier. In our model the prover has quantum access to the verifierâ€™s function and in particular can query it in superposition.The motivation behind quantum resettable soundness is twofold: First ensuring a strong security guarantee in scenarios where quantum resetting may be possible (e.g. smart cards or virtual machines). Second drawing intuition from the classical setting we hope to improve our understanding of basic questions regarding post-quantum zero knowledge.We prove the following results: Black-Box Barriers. Quantum resetting exactly captures the power of black-box zero knowledge quantum simulators. Accordingly resettable soundness cannot be achieved in conjunction with black-box zero knowledge except for languages in ððð. Leveraging this we prove that constant-round public-coin or three message protocols cannot be black-box post-quantum zero-knowledge. For this we show how to transform such protocols into quantumly resettably sound ones. The transformations are similar to classical ones but their analysis is very different due to the essential difference between classical and quantum resetting.  A Resettably-Sound Non-Black-Box Zero-Knowledge Protocol. Under the (quantum) Learning with Errors assumption and quantum fully-homomorphic encryption we construct a post-quantum resettably-sound zero knowledge protocol for ðð. We rely on non-black-box simulation techniques thus overcoming the black-box barrier for such protocols.  From Resettable Soundness to The Impossibility of Quantum Obfuscation. Assuming one-way functions we prove that any quantumly-resettably-sound zero-knowledge protocol for ðð implies the impossibility of quantum obfuscation. Combined with the above result this gives an alternative proof to several recent results on quantum unobfuscatability.,Theory of Cryptography Conference,A,2021,"@InProceedings{10.1007/978-3-030-90459-3_3,author=""Bitansky, Nirand Kellner, Michaeland Shmueli, Omri"",editor=""Nissim, Kobbiand Waters, Brent"",title=""Post-quantum Resettably-Sound Zero Knowledge"",booktitle=""Theory of Cryptography"",year=""2021"",publisher=""Springer International Publishing"",address=""Cham"",pages=""62--89"",abstract=""We study post-quantum zero-knowledge (classical) protocols that are sound against quantum resetting attacks. Our model is inspired by the classical model of resetting provers (Barak-Goldreich-Goldwasser-Lindell, FOCS `01), providing a malicious efficient prover with oracle access to the verifier's next-message-function, fixed to some initial random tape; thereby allowing it to effectively reset (or equivalently, rewind) the verifier. In our model, the prover has quantum access to the verifier's function, and in particular can query it in superposition."",isbn=""978-3-030-90459-3""}"
User Authentication in SSL Handshake Protocol with Zero-Knowledge Proof,"Than Myo Zaw, Min Thant, S.V. Bezzateev",In this paper we create secure SSL protocol with zero-knowledge proof which proposed an intruder should not be able to substitute false certificates and masquerade as client or sever. We add Zero-Knowledge proof where certificate transfer directly into both parties. The new scheme was shown to be more secure against the known attacks for SSL. This protocol has characteristics which have identification and authentication of both parties when use to SSL handshake protocol.,IEEE (WECONF),A,2018,"@misc{zaw_thant_bezzateev, title={User authentication in SSL handshake protocol with Zero-knowledge proof}, url={https://ieeexplore.ieee.org/abstract/document/8604392}, journal={IEEE Xplore}, publisher={IEEE}, author={Zaw, Than Myo and Thant, Min and Bezzateev, S. V.}}"
Blockchain-based secure Handover for IoT using Zero-Knowledge Proof protocol,"Samia Boutalbi, Julio César Pérez Carcía, Abderrahim Benslimane",Currently the Internet of Things (IoT) is widely used by the emerging of internet-integrated wireless devices in daily life. In order to communicate and exchange data with each other IoT devices must pass by a gateway that belongs to the same network. But considering the mobility of such devices and their constraints it becomes difficult to trust and to connect from a gateway to another. Therefore this paper introduces a blockchain-based secure handover protocol. It ensures an anonymous mutual authentication solution between a mobile IoT device and a visited gateway by using Zero-Knowledge Proof (ZKP) protocol. To do simulations have been performed thanks to a discrete events simulator. In addition to a good security level compared with the most used protocol (DTLS) our simulation results lead to better performance in terms of temporal complexity energy consumption and communication cost.,IEEE (GLOBECOM),A,2021,"@misc{boutalbi_pérez carcía_benslimane, title={Blockchain-based secure handover for IOT using zero-knowledge proof protocol}, url={https://ieeexplore.ieee.org/abstract/document/9685733/authors#authors}, journal={IEEE Xplore}, publisher={IEEE}, author={Boutalbi, Samia and Pérez Carcía, Julio César and Benslimane, Abderrahim}}"
Picnic,"Deepraj Soni, Kanad Basu, Mohammed Nabeel, Najwa Aaraj, Marcos Manzano, Ramesh Karri",Picnic is a hash-based cryptographic algorithm which claims to provide a signature scheme that is unforgeable against quantum computers; it is the seventh such algorithm we consider in-depth of the eight in this book. This algorithm is divided into three components: key generation signature generation and signature verification. We select three variants of Picnic with distinct security strength and make these variants capable of synthesis by a High-Level Synthesis (HLS) tool. We summarize all the changes in the C code to make it capable of synthesis. Using HLS we generate FPGA and ASIC designs for all three components of the three variants. We evaluate power area speed and security parameter trade-offs for Picnic hardware architectures. We explore the design-space through a detailed analysis of FPGA and ASIC designs for Picnic concluding that for the FPGA implementation latency increases with security but with minimal change in hardware overhead while for the ASIC-specific implementation the baseline version provides the best throughput at security level 1 but for security levels 3 and 5 the pipelined implementations have shorter execution times.,Springer International Publishing,SJR - 2.394,2020,"@misc{springerlink_2020, title={Picnic | SpringerLink}, url={https://link.springer.com/chapter/10.1007/978-3-030-57682-0_8}, journal={springerLink}, publisher={springerLink}, year={2020}, month={Oct}}"
A survey on zero knowledge range proofs and applications,"Eduardo Morais Tommy Koens
Cees van Wijk Aleksei Koren",In last years there has been an increasing efort to leverage distributed ledger technology (DLT) including blockchain.One of the main topics of interest given its importance is the research and development of privacy mechanisms as forexample is the case of zero knowledge proofs (ZKP). ZKP is a cryptographic technique that can be used to hide informa-tion that is put into the ledger while still allowing to perform validation of this data. In this work we describe diferentstrategies to construct zero knowledge range proofs (ZKRP) as for example the scheme proposed by Boudot (in: Bart (ed)Advances in cryptologyâ€”EUROCRYPT 2000 Springer Berlin 2000) in 2001; the one proposed by Camenisch et al. (in:Josef (ed) Advances in cryptologyâ€”ASIACRYPT 2008 Springer Berlin 2008) and bulletproofs (BÃ¼nz et al. in: 2018 IEEEsymposium on security and privacy (SP) 2018) proposed in 2017. We also compare these strategies and discuss possibleuse cases. Since bulletproofs (BÃ¼nz et al. 2018) is the most efcient construction we will give a detailed description of itsalgorithms and optimizations. Bulletproofs is not only more efcient than previous schemes but also avoids the trustedsetup which is a requirement that is not desirable in the context of DLT and blockchain. In case of cryptocurrencies ifthe setup phase is compromised it would be possible to generate money out of thin air. Interestingly bulletproofs canalso be used to construct generic ZKP in the sense that it can be used to prove generic statements and thus it is not onlyrestricted to ZKRP but it can be used for any kind of proof of knowledge. Hence Bulletproofs leads to a more powerfultool to provide privacy for DLT. Here we describe in detail the algorithms involved in Bulletproofs protocol for ZKRP. Alsowe present our implementation which was open sourced (Morais et al. in: Zero knowledge range proof implementation2018. https://github.com/ing-bank/zkrangeproof).,Springer International Publishing,SJR - 2.772,2019,"@misc{morais_koens_van wijk_koren_2019, title={A survey on Zero knowledge range proofs and Applications - SN Applied Sciences}, url={https://link.springer.com/article/10.1007/s42452-019-0989-z}, journal={SpringerLink}, publisher={Springer International Publishing}, author={Morais, Eduardo and Koens, Tommy and van Wijk, Cees and Koren, Aleksei}, year={2019}, month={Jul}}"
